"","study","germplasm","grain_yield_bu_ac","test_weight_lb_bu","heading_time_jd","plant_height_in"
"1","Big6_Urb_24","OH21*117-94",34.9087456448058,6.07120420490771,-1.20033150159765,0.0612113892114972
"2","Big6_Urb_24","OH21-117-111",33.2357782378178,5.43077742581616,0.90686756218243,-1.80502631495841
"3","Big6_Urb_24","OH21-117-101",32.5758471025317,6.30094832525925,-0.419596724761647,-0.601984202632027
"4","Big6_Urb_24","IL2021-22316",30.4842701683334,4.10002576827014,-1.25748938603682,0.923667996342015
"5","Big6_Neo_24","OH21*117-94",28.8776793734772,1.6225580895231,-1.02937716378771,-0.209301850475032
"6","Big6_Urb_24","OH21-8-3",27.4999966952483,4.11211152812399,-0.0262650416598705,-0.995537515999219
"7","Big6_Urb_24","IL16LCSDH-09-T-2664-36",26.6171223713305,5.14641934633109,0.231354694973074,-0.956574207485065
"8","Big6_Neo_24","OH21-117-111",26.2452731274193,2.42688398502866,0.810770132778033,-2.11762396633007
"9","Big6_Urb_24","OH20-98-32",26.1524508749689,2.58141318702581,-2.39343433918104,-1.53172347739377
"10","Big6_Neo_24","OH21-117-101",25.1873680618626,3.45187966476627,-0.525106701346548,-0.885557107530537
"11","Big6_Urb_24","IL16LCSDH-09-T-2664-20",24.8007027441692,3.11694666682202,0.388255476105004,-0.700195559166741
"12","Big6_Urb_24","OH21*118-15",24.6917729561028,1.62063105783788,-1.91842496234184,-3.08415967404942
"13","Big6_Urb_24","IL16LCSDH-09-T-2664-43",24.0278303842476,5.76077979038745,0.357033844772819,-1.04373972162071
"14","Big6_Urb_24","IL2021-26834",23.8713513758138,3.19001672265101,-1.169097954787,-0.825428123378066
"15","Big6_Urb_24","IL16LCSDH-09-T-2664-28",23.8509222703874,4.6209524556349,0.418873546315187,-0.746087990044385
"16","Big6_Urb_24","IL16LCSDH-09-T-2664-40",23.6193458023418,5.41916756794436,-0.14579678585114,-0.350356034705969
"17","Big6_Neo_24","OH21-8-3",23.5974505648079,-0.768266473668588,-0.537132265393805,-0.712290738905373
"18","Big6_Urb_24","IL16LCSDH-09-T-2664-24",23.2712131968011,4.50377149977289,0.227237801039194,-0.643481793507272
"19","Big6_Urb_24","IL16LCSDH-04-T-2659-20",22.7653346715382,3.19320015619539,-0.32719260152867,-0.864151477249944
"20","Big6_Urb_24","OH21-2-74",22.7155303745884,3.52338386587691,-0.199616646083991,-2.82998355570028
"21","Big6_Urb_24","IL16LCSDH-04-T-2659-216",22.6561695255139,2.97627448710917,-1.11301935393178,-1.07163581164338
"22","Big6_Neo_24","IL2021-22316",22.1587998908062,1.70106315652601,-1.25621281928321,0.747177360068224
"23","Big6_Neo_24","OH20-98-32",22.0635168504842,-1.29017466077363,-2.78337491300611,-1.40374236045837
"24","Big6_Urb_24","IL2021-35723",21.9629657837674,1.28874830356785,-3.80047933817802,-2.01180893513859
"25","Big6_Urb_24","IL2021-16612",21.6684031629676,1.98688836826846,-0.528740204144256,-1.89564044509677
"26","Big6_Urb_24","IL16LCSDH-09-T-2664-23",21.0845103194017,3.576934675461,0.604036035268922,-1.27817122851893
"27","Big6_Urb_24","OH20-96-116",21.0169984767846,3.32453643363908,0.578219762751106,-0.756586850495293
"28","Big6_Fre_24","OH21*117-94",20.5909767527069,0.160707310261184,NA,NA
"29","Big6_Urb_24","IL16LCSDH-09-T-2664-16",20.3058978838767,3.44036279414502,-1.41280476627843,0.200418956046003
"30","Big6_Urb_24","IL2021-15134",20.2066447750296,0.914286007201037,-1.69885137119913,-2.68029793477169
"31","Big6_Neo_24","IL16LCSDH-09-T-2664-36",19.821377073406,3.69609547622641,1.05930083887251,-0.624564663742871
"32","Big6_Urb_23","2203",19.4892780397726,-1.66284258095135,1.56998569234877,-1.35374907176283
"33","Big6_Neo_24","OH21*118-15",19.2213613280772,0.281674258522158,-2.5463909200921,-2.86419001137104
"34","Big6_Neo_24","IL2021-26834",19.2195965883956,1.69602171874689,-1.29589523416888,-1.3552509091935
"35","Big6_Urb_24","IL2021-19401",19.1588630506479,3.89501292614261,-1.52663323663253,-0.330800148817083
"36","Big6_Urb_24","OH21-5-47",19.1572659826527,1.95058017105339,-0.245530762828493,-1.40455885722318
"37","Big6_Urb_24","IL16LCSDH-04-T-2659-232",19.152729241367,1.12255218577891,-0.9221367930729,-0.261668485079229
