"","germplasm","predicted.value","std.error","status","trait"
"1","20PU-0001",78.1891042490755,5.11888565752931,"Estimable","grain_yield"
"2","21PU-0015",77.1349712843608,5.23681515921581,"Estimable","grain_yield"
"3","21PU-0026",79.6108500178069,5.18015803149993,"Estimable","grain_yield"
"4","21PU-0031",81.3745744343719,5.028057251706,"Estimable","grain_yield"
"5","21PU-0033",80.0164437026926,5.01987640961397,"Estimable","grain_yield"
"6","21PU-0042",73.8719660697259,5.15135861124305,"Estimable","grain_yield"
"7","21PU-0046",78.6307350061329,5.14733774360619,"Estimable","grain_yield"
"8","21PU-0051",74.6279160327075,5.27163521574478,"Estimable","grain_yield"
"9","21PU-0058",80.1094367225489,5.15859373139408,"Estimable","grain_yield"
"10","21PU-0071",76.8868568130828,5.12717320698987,"Estimable","grain_yield"
"11","21PU-0072",78.8493370293421,5.13608932055417,"Estimable","grain_yield"
"12","21PU-0073",84.6455056690626,4.9438829192208,"Estimable","grain_yield"
"13","21PU-0104",82.11284891291,5.22914637212654,"Estimable","grain_yield"
"14","21PU-0154",79.2479377123374,5.0171273975263,"Estimable","grain_yield"
"15","21PU-0157",83.1619404949848,4.94835094734035,"Estimable","grain_yield"
"16","21PU-0163",79.9698378606435,4.89797043967693,"Estimable","grain_yield"
"17","21PU-0165",75.5256546892276,5.03030938403509,"Estimable","grain_yield"
"18","21PU-0176",73.3171840440021,5.24595342026945,"Estimable","grain_yield"
"19","21PU-0183",77.3570852331737,5.24348870379852,"Estimable","grain_yield"
"20","21PU-0185",78.5061209598726,5.02830860392462,"Estimable","grain_yield"
"21","21PU-0280",85.4206722668821,5.00379280080342,"Estimable","grain_yield"
"22","21PU-0281",82.9619944726928,4.94735551018675,"Estimable","grain_yield"
"23","21PU-0282",81.8949980673392,4.95770397909764,"Estimable","grain_yield"
"24","21PU-0283",83.6987522763095,4.93611376515187,"Estimable","grain_yield"
"25","21PU-0284",82.5972758489137,4.94431056603637,"Estimable","grain_yield"
"26","21PU-0285",87.4644876418486,5.18892852568823,"Estimable","grain_yield"
"27","21PU-0286",84.6921234142663,4.85912586589927,"Estimable","grain_yield"
"28","21PU-0287",83.4742101861646,4.94367445664888,"Estimable","grain_yield"
"29","21PU-0288",86.1112730702932,5.13979925882261,"Estimable","grain_yield"
"30","21PU-0290",82.3348831984371,4.94253603550165,"Estimable","grain_yield"
"31","21PU-0292",84.5514707549707,5.16821509473496,"Estimable","grain_yield"
"32","21PU-0293",86.4367704287986,4.99671390120348,"Estimable","grain_yield"
"33","21PU-0294",86.3747948665303,5.00387939421314,"Estimable","grain_yield"
"34","21PU-0295",84.6751645043375,4.92984505431602,"Estimable","grain_yield"
"35","21PU-0296",85.1723371320757,4.94109785112134,"Estimable","grain_yield"
"36","21PU-0297",85.1512348503794,4.94340208282751,"Estimable","grain_yield"
"37","21PU-0298",83.436246351173,5.1742245328063,"Estimable","grain_yield"
"38","21PU-0344",82.6721892891985,5.02835066657157,"Estimable","grain_yield"
"39","21PU-0467",84.2414213841249,5.01691380068155,"Estimable","grain_yield"
"40","21PU-0502",83.0637231346611,5.18230784960289,"Estimable","grain_yield"
"41","21PU-0507",85.517020371099,5.14804159010297,"Estimable","grain_yield"
"42","21PU-0524",80.7140682580744,5.13040832752003,"Estimable","grain_yield"
"43","21PU-0532",79.3154291808667,5.02913219278326,"Estimable","grain_yield"
"44","21PU-0561",82.1153247141459,5.18805199533447,"Estimable","grain_yield"
"45","21PU-0645",82.7474009352257,4.89970271991966,"Estimable","grain_yield"
"46","21PU-0648",83.2576879542644,5.13995739356993,"Estimable","grain_yield"
"47","21PU-0673",81.9762549197328,5.03409971188721,"Estimable","grain_yield"
"48","21PU-0674",81.6274140219098,5.27543162174512,"Estimable","grain_yield"
"49","2201",83.1917827979366,5.02209504107012,"Estimable","grain_yield"
"50","2202",87.5879596631185,4.91157792258928,"Estimable","grain_yield"
"51","2203",90.8461437622702,5.02213412398273,"Estimable","grain_yield"
"52","2204",85.2876898807157,5.0143985102422,"Estimable","grain_yield"
"53","2206",83.0979081900382,5.01097927011003,"Estimable","grain_yield"
"54","2207",87.4019945933652,5.0226455518341,"Estimable","grain_yield"
"55","2208",87.6476814981315,5.02401677110394,"Estimable","grain_yield"
"56","2209",85.026414938494,5.02543471361296,"Estimable","grain_yield"
