"","germplasm","predicted.value_grain_yield","predicted.value_test_weight","predicted.value_heading_time","predicted.value_plant_height","predicted.value_maturity","std.error_grain_yield","std.error_test_weight","std.error_heading_time","std.error_plant_height","std.error_maturity"
"1","OH21*117-94",94.7779424101839,56.4921198054614,127.974313634808,36.4400319889706,160.548756119633,5.00478994404081,0.760669770622092,3.75692205751291,1.74864292999106,3.35360262806543
"2","X17-1469-116-7-1-10",91.8968078870148,55.2838878511641,127.890862602602,37.7286494109422,159.413832385115,5.05265563670724,0.763215658410932,3.75607017490554,1.7555400793868,3.36645982660536
"3","MI22W213",91.512152329059,55.1647927985918,128.395564144163,32.4480202053301,160.210178430821,4.93793694105397,0.746718404267134,3.74511563133022,1.6453048572464,3.2705210139507
"4","OH21-117-101",91.037756866748,57.1868616985301,128.287802326796,35.5166458938221,157.64244883732,5.00985789692834,0.760624609897815,3.75650728266076,1.7622366126076,3.3626128481505
"5","2203",90.8461437622702,55.931452200901,129.282516429527,36.4955725379096,160.89291714114,5.02213412398273,0.755363897996063,3.74222175073839,1.62214100076312,3.59604568069367
"6","IL2021-22316",90.6733728250133,56.8694031231921,127.148981504724,37.0917416964681,159.218590687831,4.94550243136785,0.746279485283322,3.74491009662982,1.64588920638381,3.27088669069283
"7","OH15-191-52",90.5052923881052,56.2462820425492,130.001388028663,35.5725008340406,160.739409292794,4.88164890342053,0.739483841268661,3.7397219211602,1.59451006917372,3.27193408144722
"8","IL16LCSDH-06-T-2661-17",90.3549352759183,56.2635410206059,127.619149480926,36.734082513749,159.758805529348,4.93658812952856,0.746665899647953,3.74560705995736,1.64709719295835,3.27098850867221
"9","IL16LCSDH-04-T-2659-216",90.2210627795422,57.4819137968451,127.235995274193,35.0241679959901,157.411510013923,4.94429932474558,0.746663587508876,3.74498017091735,1.64733451350353,3.27056765810462
"10","IL16LCSDH-04-T-2659-20",90.0334632365729,57.5826807590049,127.747143466853,35.6472343451901,157.945784070134,4.94221601092867,0.746802141463341,3.74495727018371,1.64327399948218,3.27011676569971
"11","MI21W0040",89.9195699973428,56.0342298288418,127.599905242063,33.9097203777955,159.040905515398,4.93587938594569,0.746079369653071,3.74496358423404,1.64160317030077,3.27062763363192
"12","OH21-92-54",89.6701741850935,56.4704768594242,127.228672277557,34.5270895140573,160.673146535152,5.01474184799435,0.760621414965198,3.75495806728817,1.74809181452299,3.35584387342005
"13","2402",89.5302444894679,55.9730736425614,127.792509755286,33.3726512865904,160.68577689002,5.03398884877351,0.761940922568471,3.75610551468422,1.75608672124346,3.35861452601838
